tipo,classeA,classeB,classeC,classeD,classeE,classeF,classeG
frigorifico,15.0,22.0,28.0,35.0,42.0,50.0,65.0
frigorifico_combinado,22.0,32.0,42.0,52.0,65.0,80.0,100.0
forno,35.0,42.0,50.0,60.0,75.0,90.0,110.0
arca,18.0,26.0,35.0,45.0,58.0,72.0,90.0
placa,8.0,12.0,16.0,20.0,26.0,32.0,40.0
microondas,3.0,4.0,5.0,6.0,7.0,8.0,10.0
ferro,5.0,7.0,9.0,12.0,15.0,18.0,22.0
robot,2.0,3.0,4.0,5.0,6.5,8.0,10.0
cafeteira,8.0,12.0,16.0,20.0,26.0,32.0,40.0
chaleira,3.0,5.0,7.0,9.0,12.0,15.0,18.0
ar_condicionado,80.0,110.0,140.0,170.0,210.0,250.0,300.0
radiador,35.0,50.0,65.0,85.0,110.0,140.0,180.0
aquecedor,25.0,35.0,48.0,65.0,85.0,110.0,140.0
caldeira,50.0,70.0,95.0,120.0,150.0,190.0,240.0
bomba_calor,120.0,160.0,210.0,270.0,340.0,420.0,520.0
desumidificador,12.0,18.0,24.0,32.0,42.0,52.0,65.0
lareira,40.0,55.0,75.0,95.0,120.0,150.0,190.0
piso_aquecido,60.0,85.0,115.0,150.0,190.0,240.0,300.0
louça,10.0,14.0,18.0,22.0,28.0,35.0,45.0
maquina_lavar,6.0,8.0,10.0,12.0,15.0,18.0,22.0
maquina_secar,50.0,65.0,80.0,95.0,110.0,130.0,160.0
televisao,8.0,12.0,16.0,20.0,26.0,32.0,40.0
consola,12.0,16.0,22.0,28.0,36.0,45.0,56.0
computador,12.0,16.0,22.0,28.0,36.0,45.0,56.0
solar,-150.0,-120.0,-100.0,-80.0,-60.0,-40.0,-20.0
carro_eletrico,120.0,160.0,210.0,270.0,340.0,420.0,520.0
piscina,180.0,240.0,320.0,420.0,540.0,680.0,860.0
bomba_rega,8.0,12.0,16.0,22.0,28.0,35.0,45.0
router,2.0,3.0,4.0,5.0,6.5,8.0,10.0
